SHIP_ID,SPEED,LON,LAT,COURSE,HEADING,TIMESTAMP,Departure_Port_Name,Reported_Draught
0x3b62baab6210a8e69d3e7f9df53d000c83d00fd0,2,15.247220,37.287770,163,511,01-06-15 0:00,AUGUSTA,
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,146,23.694910,37.313620,13,15,01-06-15 0:00,SALERNO,88
0xb35dc6acdc29f2241296c44384fa2b0f7044d257,20,15.669920,38.387740,339,339,01-06-15 0:00,MESSINA,66
0x9c2f4a52cefcef0b47d4caa7b809e89ee5825e39,0,10.322850,42.811080,72,301,01-06-15 0:00,PORTO FERRAIO,
0x8bf0e9618067d23eec5eea61d274af4b13fee7f9,197,24.489080,36.193870,146,511,01-06-15 0:01,PIRAEUS,
0x1618b2bca3eb2fd6338f5456f03e02e7dbd3c9bd,95,27.463950,36.632680,113,511,01-06-15 0:01,ALIAGA,56
0xab4f81945b77948a5e965192cf8c04f967f8aaf7,0,12.321830,37.934170,46,511,01-06-15 0:01,AUGUSTA,46
0x5aa8e2337c112b6369c0c5e09a7fba81f9df7ef4,86,15.628790,38.223900,260,511,01-06-15 0:01,VILLA SAN GIOVANNI,
0xcd5d32ea8b221264963561ceab14ad55f1aacba1,1,17.216050,40.449580,93,199,01-06-15 0:01,TARANTO,91
0x3b62baab6210a8e69d3e7f9df53d000c83d00fd0,1,15.248080,37.287340,72,511,01-06-15 0:02,AUGUSTA,
0xfba45ad52063daf3b71d1f91a81ac6efa114e51f,113,15.569970,38.210060,100,511,01-06-15 0:02,VILLA SAN GIOVANNI,
0xb35dc6acdc29f2241296c44384fa2b0f7044d257,20,15.664930,38.398210,338,338,01-06-15 0:02,MESSINA,66
0x8bf0e9618067d23eec5eea61d274af4b13fee7f9,197,24.497690,36.183300,146,511,01-06-15 0:03,PIRAEUS,
0x1618b2bca3eb2fd6338f5456f03e02e7dbd3c9bd,96,27.471620,36.630250,112,511,01-06-15 0:03,ALIAGA,56
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,148,23.698440,37.325570,12,15,01-06-15 0:03,SALERNO,88
0x5aa8e2337c112b6369c0c5e09a7fba81f9df7ef4,98,15.622210,38.223480,265,511,01-06-15 0:03,VILLA SAN GIOVANNI,
0x48e8c84531340860ed203276a66020746e64c222,0,10.323830,42.812250,286,123,01-06-15 0:03,PIOMBINO,
0x3b62baab6210a8e69d3e7f9df53d000c83d00fd0,4,15.248190,37.287530,329,511,01-06-15 0:04,AUGUSTA,
0xfba45ad52063daf3b71d1f91a81ac6efa114e51f,121,15.578130,38.208770,103,511,01-06-15 0:04,MESSINA,
