SHIP_ID,speed,LON,LAT,COURSE,HEADING,TIMESTAMP,Departure_Port_Name,Reported_Draught
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,45,14.7490,40.66721,197,223,30-05-15 04:35:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,42,14.7466,40.66562,249,255,30-05-15 04:37:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,57,14.7432,40.66491,255,253,30-05-15 04:39:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,77,14.7387,40.66338,230,222,30-05-15 04:41:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,97,14.7347,40.65952,214,212,30-05-15 04:43:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,105,14.7310,40.65451,203,200,30-05-15 04:45:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,123,14.7278,40.64826,201,199,30-05-15 04:47:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,14,14.7244,40.6412,199,197,30-05-15 04:49:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,144,14.7207,40.63381,201,195,30-05-15 04:51:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,143,14.7189,40.62612,185,186,30-05-15 04:53:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,145,14.7180,40.61765,183,185,30-05-15 04:55:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,146,14.7178,40.60912,181,184,30-05-15 04:57:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,145,14.7175,40.59698,181,183,30-05-15 05:00:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,144,14.7168,40.58492,182,182,30-05-15 05:03:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,144,14.7160,40.57292,181,180,30-05-15 05:06:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,147,14.7163,40.56031,179,180,30-05-15 05:09:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,148,14.7165,40.548,179,179,30-05-15 05:12:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,148,14.7166,40.53563,180,180,30-05-15 05:15:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,148,14.7167,40.5232,179,179,30-05-15 05:18:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,148,14.7165,40.5108,180,179,30-05-15 05:21:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,149,14.7162,40.49833,180,179,30-05-15 05:24:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,146,14.7160,40.48601,179,180,30-05-15 05:27:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,146,14.7160,40.47375,181,180,30-05-15 05:30:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,147,14.7157,40.46076,181,179,30-05-15 05:33:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,147,14.7152,40.44836,182,178,30-05-15 05:36:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,148,14.7151,40.43609,184,182,30-05-15 05:39:00,SALERNO,88
0x0fe9acdb3675a8a2942fafbd4af61bc37e44c0ec,147,14.7141,40.42381,183,182,30-05-15 05:42:00,SALERNO,88
